session,phase,category,frame,mean_dFF,H,W,n_frames
230714,Expert,CR,20,-2.924347834497412e-05,142,170,22
230714,Expert,CR,21,-0.0005055732547805319,142,170,22
230714,Expert,Target,0,0.010524382496494733,142,170,22
230714,Expert,Target,1,-0.0010671410735467765,142,170,22
230714,Expert,Target,2,-0.0005981820738380981,142,170,22
230714,Expert,Target,3,-0.0013180568046328013,142,170,22
230714,Expert,Target,4,-0.00034412507336954766,142,170,22
230714,Expert,Target,5,0.0009733667783750437,142,170,22
230714,Expert,Target,6,0.0007547032187764625,142,170,22
230714,Expert,Target,7,0.0003231580169003325,142,170,22
230714,Expert,Target,8,0.0009064980678433325,142,170,22
230714,Expert,Target,9,-0.00015611345985675103,142,170,22
230714,Expert,Target,10,0.0005258924033488075,142,170,22
230714,Expert,Target,11,8.094242602324328e-05,142,170,22
230714,Expert,Target,12,-0.0003951837956087603,142,170,22
230714,Expert,Target,13,0.0001429087383846434,142,170,22
230714,Expert,Target,14,0.0022899509280833058,142,170,22
230714,Expert,Target,15,0.0052820889135400855,142,170,22
230714,Expert,Target,16,0.010372493132023493,142,170,22
230714,Expert,Target,17,0.01910963225305709,142,170,22
230714,Expert,Target,18,0.0265558847944551,142,170,22
230714,Expert,Target,19,0.032880023053936516,142,170,22
230714,Expert,Target,20,0.03453798550072325,142,170,22
230714,Expert,Target,21,0.033102668701805366,142,170,22
230714,Expert,Distractor,0,0.00505243812385193,142,170,22
230714,Expert,Distractor,1,-0.0008342329669363245,142,170,22
230714,Expert,Distractor,2,3.650766759469856e-06,142,170,22
230714,Expert,Distractor,3,0.0006528221205463828,142,170,22
230714,Expert,Distractor,4,0.00109143300200574,142,170,22
230714,Expert,Distractor,5,0.0008846550653883482,142,170,22
230714,Expert,Distractor,6,0.000519758059794133,142,170,22
230714,Expert,Distractor,7,-1.1988381852070196e-05,142,170,22
230714,Expert,Distractor,8,8.430885843535482e-05,142,170,22
230714,Expert,Distractor,9,-0.0007580834671481502,142,170,22
230714,Expert,Distractor,10,-0.0016323230569928746,142,170,22
230714,Expert,Distractor,11,-0.0006181944911039684,142,170,22
230714,Expert,Distractor,12,0.00012094691724418802,142,170,22
230714,Expert,Distractor,13,0.000533298619085985,142,170,22
230714,Expert,Distractor,14,0.0009242801887185613,142,170,22
230714,Expert,Distractor,15,0.0015687028725959403,142,170,22
230714,Expert,Distractor,16,0.0022502567881342744,142,170,22
230714,Expert,Distractor,17,0.004342263494601208,142,170,22
230714,Expert,Distractor,18,0.005144059774380862,142,170,22
230714,Expert,Distractor,19,0.005528772648592329,142,170,22
230714,Expert,Distractor,20,0.0065000549273704486,142,170,22
230714,Expert,Distractor,21,0.005946214896702776,142,170,22
230715,Expert,Hits,0,0.0020270213291944863,142,170,22
230715,Expert,Hits,1,-0.00046732850530333117,142,170,22
230715,Expert,Hits,2,-0.0009764995827387863,142,170,22
230715,Expert,Hits,3,-0.0006122500715485803,142,170,22
230715,Expert,Hits,4,-0.00046458499687219984,142,170,22
230715,Expert,Hits,5,-6.367965109557491e-05,142,170,22
230715,Expert,Hits,6,5.503610554036326e-07,142,170,22
230715,Expert,Hits,7,-0.0001720262003014073,142,170,22
230715,Expert,Hits,8,0.00020178232341266195,142,170,22
230715,Expert,Hits,9,0.0009563298162054085,142,170,22
230715,Expert,Hits,10,0.0015977065071864137,142,170,22
230715,Expert,Hits,11,0.0021830512237981095,142,170,22
230715,Expert,Hits,12,0.003308213238315596,142,170,22
230715,Expert,Hits,13,0.005857314627558581,142,170,22
230715,Expert,Hits,14,0.011514137373907104,142,170,22
230715,Expert,Hits,15,0.01955441334901148,142,170,22
230715,Expert,Hits,16,0.029018411570242812,142,170,22
230715,Expert,Hits,17,0.03698292001141325,142,170,22
230715,Expert,Hits,18,0.03911078027859717,142,170,22
230715,Expert,Hits,19,0.038619202383299564,142,170,22
230715,Expert,Hits,20,0.03612726751641687,142,170,22
230715,Expert,Hits,21,0.0326975349745893,142,170,22
230715,Expert,GoodLicks,0,7.038680216093753e-05,142,170,14
230715,Expert,GoodLicks,1,0.0003918806726111482,142,170,14
230715,Expert,GoodLicks,2,0.00034690014741613955,142,170,14
230715,Expert,GoodLicks,3,0.0007409812724052974,142,170,14
230715,Expert,GoodLicks,4,0.0014403571468141916,142,170,14
230715,Expert,GoodLicks,5,0.0023662412209184756,142,170,14
230715,Expert,GoodLicks,6,0.0035684751661701824,142,170,14
230715,Expert,GoodLicks,7,0.005263962126379897,142,170,14
230715,Expert,GoodLicks,8,0.00865584936153269,142,170,14
230715,Expert,GoodLicks,9,0.01765393421507873,142,170,14
230715,Expert,GoodLicks,10,0.026178591391958595,142,170,14
230715,Expert,GoodLicks,11,0.03987493427574757,142,170,14
230715,Expert,GoodLicks,12,0.04240116601506134,142,170,14
230715,Expert,GoodLicks,13,0.03977283474794826,142,170,14
230715,Expert,FA,0,0.00860280252160621,142,170,22
230715,Expert,FA,1,-0.0007508908219662087,142,170,22
230715,Expert,FA,2,-0.0010471142196314374,142,170,22
230715,Expert,FA,3,-5.519603349230027e-06,142,170,22
230715,Expert,FA,4,0.0008106128437072914,142,170,22
230715,Expert,FA,5,0.0003394985841237432,142,170,22
230715,Expert,FA,6,-0.0001246612372904506,142,170,22
230715,Expert,FA,7,-0.00011702380968989874,142,170,22
230715,Expert,FA,8,-0.0001154127974313541,142,170,22
230715,Expert,FA,9,0.000342200623176116,142,170,22
230715,Expert,FA,10,0.0006683104383514305,142,170,22
230715,Expert,FA,11,0.0002963280213736329,142,170,22
230715,Expert,FA,12,0.0007036738273783992,142,170,22
230715,Expert,FA,13,0.0018925654942368018,142,170,22
230715,Expert,FA,14,0.0030719888759227275,142,170,22
230715,Expert,FA,15,0.004249019431598869,142,170,22
230715,Expert,FA,16,0.0057932616043828615,142,170,22
230715,Expert,FA,17,0.00767192189666047,142,170,22
230715,Expert,FA,18,0.00818887428674139,142,170,22
230715,Expert,FA,19,0.010028241020357839,142,170,22
230715,Expert,FA,20,0.011412030437883788,142,170,22
230715,Expert,FA,21,0.012193212675378226,142,170,22
